"@JAYU-24T","Now try xbow in RG","","false"
"@Provakeject","Supercell FOOLED everyone into thinking they were a competent company","","false"
"@bluebs18","3:47 michael jackson appears","","false"
"@NicGerr1738","The video predicts what ryley is gonna say","https://yt3.ggpht.com/yEeaWRMOAZnzh9Ges1bTixdNu-h9ll4P-XWxeLlnSZMgOAWOVA6nVctD3OwfW4wxR_dOUAvGyg=s88-c-k-c0x00ffffff-no-rj","false"
"@JM-im7bt","8:49 ""This guy"" lmaoo","https://yt3.ggpht.com/ytc/AIdro_neTfaMTnbJgtDIYfFuzKM4qtFiwR_B-V_AqEu2iFK9TA=s88-c-k-c0x00ffffff-no-rj","false"
"@Orbitzss","Is it me or is the audio slightly delayed? I notice it a lot more in 2x and overtime","https://yt3.ggpht.com/Q9R0qJ3rTn7Q1I42lTlImdeLql-zJnZ_vj30-750VQLNoiXq1vhaPlpKAq3g4L1bgLRC_W1Nzw=s88-c-k-c0x00ffffff-no-rj","false"
"@henryfields3393","6:19 Bro thought he could hide Jynxzi's spicy dms","https://yt3.ggpht.com/ytc/AIdro_l8nUKMpXiwbOCJXhzbPZFAKpKBmvPJpfylaevimPnedw=s88-c-k-c0x00ffffff-no-rj","false"
"@MmasterMmind554","aaand now hes also predicting their emotions :)","https://yt3.ggpht.com/ytc/AIdro_k0PVo4Ayjzf9FlRcdjZAQYBwK430_hLvWlP9jgikQjC65W-ONDWjkk4dykteuHJ96HgQ=s88-c-k-c0x00ffffff-no-rj","false"
"@waffyi6185","Bro fooled the internet with this upload ","https://yt3.ggpht.com/ytc/AIdro_lg2L0srLI9pEK2BDrIeInx7XaB0JNAyGrcygTKM8I0cx8=s88-c-k-c0x00ffffff-no-rj","false"
"@Bermanator","Now try sneaky golem in logbait","https://yt3.ggpht.com/ytc/AIdro_lotwq9kZ-zhxXUPYTHDURWd2bPVUP7N6Lmrz_CAiHeSQgwSE_79junSbEt4Q9YRbEFbA=s88-c-k-c0x00ffffff-no-rj","false"
"@Frybuster123gt","royal xbow","https://yt3.ggpht.com/0f0N8ZtXXpFCySsoO_hpIM4HnwaGtMHS0Fm3R_pjp15MK-tBt8Ns_Px16-J2AtNBVnuOeOAywg=s88-c-k-c0x00ffffff-no-rj","false"
"@raj_2005_","5:30 YOOO PAUSEE","https://yt3.ggpht.com/5BoEa9r7oVJQzGz7VoxxAAN-DF-AO8RSAogRSZWxQzVIJRO8LGPQ_0aYtqBgv5es9bD40dEBMyY=s88-c-k-c0x00ffffff-no-rj","false"
"@AE0N777","You’re such a little troll Ryley ","https://yt3.ggpht.com/3L5e_Yo5SJm54kHRrYPVuuMRZXW1K9bNfi9Dk8h3-4UDwXyzKKswSD1ZAB2OZJh551722NGMZA=s88-c-k-c0x00ffffff-no-rj","false"
"@bodhihall","I love it when u say this guy here its somewhat dissrespectful and funny","https://yt3.ggpht.com/ytc/AIdro_lotwq9kZ-zhxXUPYTHDURWd2bPVUP7N6Lmrz_CAiHeSQgwSE_79junSbEt4Q9YRbEFbA=s88-c-k-c0x00ffffff-no-rj","false"
"@yakudo6699","holy refresh pull","https://yt3.ggpht.com/ytc/AIdro_lmz4zQVUmy1w88r5Pu-0CWHhVO-44gTQqaIcddKrfsjVY=s88-c-k-c0x00ffffff-no-rj","false"
"@DiKu-351","Hes predicting there emotions there elixir there decks the placement of there cards there emotes the amount they have in there bank account ","https://yt3.ggpht.com/jkDSGR0CDbTAR47HjXqP6q_91gVN2q0n7Le0YiVYwkFNULGuuu1NrIFt4OjNE7qlJJU2fwISSQ=s88-c-k-c0x00ffffff-no-rj","false"
"@psychic_editzz","Hog 2.6 with sneaky golem please","https://yt3.ggpht.com/VLrk-NxG1GS9V7PGDNGYGiQKoeUiZRqir3hq9nygq4EybrElg_zdz37zhTGDCrFNzaziK3X_5do=s88-c-k-c0x00ffffff-no-rj","false"
"@Dunnelm","“I fooled my opponents” is what supercell should be saying","https://yt3.ggpht.com/M65oF6M6OYxxUEmlYS59ShxKXAsjAZZi1k_r_bDXFC15VtkSYtJ-ZxxspGS-3UGa-nsC8_K9weU=s88-c-k-c0x00ffffff-no-rj","false"
"@Victim-xs1kd","Bro wanted to stretch that ""yoooo"" at the start","https://yt3.ggpht.com/Lt4bdH8MxTWQW6A0LgDFYuAr3FA___MwCbWXbshyfe7OR-_-V9eHS3XtwOTnFUaJ3oIYon-vTw=s88-c-k-c0x00ffffff-no-rj","false"
"@CarlitosPR94","Last playet would have easily destroyed me in the first minute the way he put preassure on both lanes. Ryley is insane","https://yt3.ggpht.com/flxHpEtLV38QRogWdjS2_qWy4Cqa1w8UA2pTKmLgZcHYnSWTHMugNLDHKpqFV7GoLO_WkS9lww=s88-c-k-c0x00ffffff-no-rj","false"
"@z-powered-nathan","The audio delay is definitely noticeable this bideo","","false"
"@moritztrosin4485","Video idea: Play a golem deck with pump but instead of the golem use the ice golem","https://yt3.ggpht.com/ytc/AIdro_nE-rVXwtCLYKRFHdEwVQwPOqcp1Kcyvu27hp6Avn4=s88-c-k-c0x00ffffff-no-rj","false"
"@TheBigBadOtis","Next do battle ram in 2.6","","false"
"@Adknow01","Yes Ryley, this is very hilarious","https://yt3.ggpht.com/PAS5CofmaKnhEdj8erZF299lGqG4IMF6nWoBTUaw7j0eacb0agU8jIimlV9HmHS-BuvVzs6_GQ=s88-c-k-c0x00ffffff-no-rj","false"
"@sasambamotors","Okay bro, now im waiting for hog 2.MEGAKNIGHT","https://yt3.ggpht.com/eRH8U52QWvE8sGU3fPNu-IvPbu8YLJWmsycnjzL3eEOkQ1IC_-ldgfv-lDk0p1ggHbtdrVtVNY4=s88-c-k-c0x00ffffff-no-rj","false"
"@bv1q111","sneaky golem legacy","https://yt3.ggpht.com/ytc/AIdro_mfFXyylYgZrpROqKyF6oPCk83OMO2sytRPC6moOlg=s88-c-k-c0x00ffffff-no-rj","false"
"@Butera20","Pls fix the audio Ryley ","https://yt3.ggpht.com/V7ggFqA1bTizd9UpXs9nuHtX7LFYCJ3Iu3y4FqMncrZhKNlg95H6Cf_sP6m6eQc6VkqhRKoQ=s88-c-k-c0x00ffffff-no-rj","false"
"@CheesymaxBS","I thought it was sweaty clash for a second","https://yt3.ggpht.com/MqbMLvKYWBRb9Z4uxZsu4MQUuJQ96jI3yXHe3y9LGKohkPG0U-Zp_Z37OdeL7jnA-yD0qWzcjw=s88-c-k-c0x00ffffff-no-rj","false"
"@flamee_6446","Ken is type of guy who is coming back to Australia in a few days for over a month","","false"
"@PuppyGirlPrimed","""Kenezuela"" really messed this one up","","false"
"@Arsalplayz","Ken has been playing alot of rune giant lately to make a good first impression towards the mom of berserky","","false"
"@dailydoseofbenadryl5096","""and goblin curse"" Ken suggests to the president on their mission to capture a dictator","","false"
